frame,track_id,pred_x,pred_y,meas_x,meas_y,corr_x,corr_y,gt_x,gt_y,pred_error,corr_error,residual_x,residual_y,residual_mag,vx,vy,var_x,var_y
2,0,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,1,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,2,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,3,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,4,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,5,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,6,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,7,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,8,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,9,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,0,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,,,,,0.0,0.0,0.0,0.0,0.0,2.0114617347717285,2.0114617347717285
3,1,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,,,,,0.0,0.0,0.0,0.0,0.0,2.0147287845611572,2.0147287845611572
3,2,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,,,,,0.0,0.0,0.0,0.0,0.0,2.012335777282715,2.012335777282715
3,3,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,,,,,0.0,0.0,0.0,0.0,0.0,2.007902145385742,2.007902145385742
3,4,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,,,,,0.0,0.0,0.0,0.0,0.0,2.007573127746582,2.007573127746582
3,5,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,,,,,0.0,0.0,0.0,0.0,0.0,2.0078539848327637,2.0078539848327637
3,6,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,,,,,0.0,0.0,0.0,0.0,0.0,2.0110695362091064,2.0110695362091064
3,7,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,,,,,0.0,0.0,0.0,0.0,0.0,2.008362054824829,2.008362054824829
3,8,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,,,,,0.0,0.0,0.0,0.0,0.0,2.0077943801879883,2.0077943801879883
3,9,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,,,,,0.0,0.0,0.0,0.0,0.0,2.009300708770752,2.009300708770752
4,0,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,,,,,0.0,0.0,0.0,0.0,0.0,5.0246429443359375,5.0246429443359375
4,1,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,,,,,0.0,0.0,0.0,0.0,0.0,5.0316667556762695,5.0316667556762695
4,2,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,,,,,0.0,0.0,0.0,0.0,0.0,5.026522159576416,5.026522159576416
4,3,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,,,,,0.0,0.0,0.0,0.0,0.0,5.016989707946777,5.016989707946777
4,4,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,,,,,0.0,0.0,0.0,0.0,0.0,5.016282081604004,5.016282081604004
4,5,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,,,,,0.0,0.0,0.0,0.0,0.0,5.016886234283447,5.016886234283447
4,6,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,,,,,0.0,0.0,0.0,0.0,0.0,5.023799419403076,5.023799419403076
4,7,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,,,,,0.0,0.0,0.0,0.0,0.0,5.017978668212891,5.017978668212891
4,8,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,,,,,0.0,0.0,0.0,0.0,0.0,5.016757965087891,5.016757965087891
4,9,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,,,,,0.0,0.0,0.0,0.0,0.0,5.019996643066406,5.019996643066406
5,0,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,502.56402587890625,720.0294189453125,,,,,0.0,0.0,0.0,0.0,0.0,10.04298210144043,10.04298210144043
5,1,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,259.120849609375,829.6430053710938,,,,,0.0,0.0,0.0,0.0,0.0,10.055232048034668,10.055232048034668
5,2,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,704.7403564453125,620.7789916992188,,,,,0.0,0.0,0.0,0.0,0.0,10.046259880065918,10.046259880065918
5,3,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,1026.17138671875,395.14117431640625,,,,,0.0,0.0,0.0,0.0,0.0,10.029633522033691,10.029633522033691
5,4,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,283.58953857421875,412.29937744140625,,,,,0.0,0.0,0.0,0.0,0.0,10.028398513793945,10.028398513793945
5,5,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,1609.63671875,433.9934387207031,,,,,0.0,0.0,0.0,0.0,0.0,10.02945327758789,10.02945327758789
5,6,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,1748.55615234375,457.44317626953125,,,,,0.0,0.0,0.0,0.0,0.0,10.041510581970215,10.041510581970215
5,7,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,1076.692138671875,404.48394775390625,,,,,0.0,0.0,0.0,0.0,0.0,10.031357765197754,10.031357765197754
5,8,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,1466.680908203125,438.8310852050781,,,,,0.0,0.0,0.0,0.0,0.0,10.029229164123535,10.029229164123535
5,9,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,1604.775390625,441.56964111328125,,,,,0.0,0.0,0.0,0.0,0.0,10.03487777709961,10.03487777709961
6,0,507.2628479003906,717.900146484375,507.2628479003906,717.900146484375,507.2628479003906,717.900146484375,,,,,0.0,0.0,0.0,1.1039159297943115,-0.5002344250679016,1.790245771408081,1.790245771408081
6,1,268.57745361328125,826.3587036132812,268.57745361328125,826.3587036132812,268.57745361328125,826.3587036132812,,,,,0.0,0.0,0.0,2.220720052719116,-0.7712578177452087,1.7904642820358276,1.7904642820358276
6,2,704.7974243164062,620.807373046875,704.7974243164062,620.807373046875,704.7974243164062,620.807373046875,,,,,0.0,0.0,0.0,0.013399051502346992,0.006673857104033232,1.7903040647506714,1.7903040647506714
6,3,1015.3540649414062,398.92352294921875,1015.3540649414062,398.92352294921875,1015.3540649414062,398.92352294921875,,,,,0.0,0.0,0.0,-2.5425713062286377,0.8890262246131897,1.7900068759918213,1.7900068759918213
6,4,261.0445556640625,411.50311279296875,261.0445556640625,411.50311279296875,261.0445556640625,411.50311279296875,,,,,0.0,0.0,0.0,-5.299342155456543,-0.18716491758823395,1.7899837493896484,1.7899837493896484
6,5,1609.601806640625,433.47381591796875,1609.601806640625,433.47381591796875,1609.601806640625,433.47381591796875,,,,,0.0,0.0,0.0,-0.008191816508769989,-0.12213253974914551,1.7900035381317139,1.7900035381317139
6,6,1748.5908203125,457.6670227050781,1748.5908203125,457.6670227050781,1748.5908203125,457.6670227050781,,,,,0.0,0.0,0.0,0.008137956261634827,0.052588652819395065,1.7902195453643799,1.7902195453643799
6,7,1062.52978515625,411.033935546875,1062.52978515625,411.033935546875,1062.52978515625,411.033935546875,,,,,0.0,0.0,0.0,-3.328591823577881,1.5394538640975952,1.7900370359420776,1.7900370359420776
6,8,1466.6900634765625,438.86328125,1466.6900634765625,438.86328125,1466.6900634765625,438.86328125,,,,,0.0,0.0,0.0,0.0021571049001067877,0.0075691272504627705,1.7899987697601318,1.7899987697601318
6,9,1605.0166015625,441.40765380859375,1605.0166015625,441.40765380859375,1605.0166015625,441.40765380859375,,,,,0.0,0.0,0.0,0.056692879647016525,-0.038064852356910706,1.7901005744934082,1.7901005744934082
6,10,1503.24658203125,336.13360595703125,1503.24658203125,336.13360595703125,1503.24658203125,336.13360595703125,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7,0,505.2793273925781,718.23486328125,505.2793273925781,718.23486328125,505.2793273925781,718.23486328125,,,,,0.0,0.0,0.0,0.461310476064682,-0.3264480531215668,2.5663414001464844,2.5663414001464844
7,1,273.8875732421875,823.3094482421875,273.8875732421875,823.3094482421875,273.8875732421875,823.3094482421875,,,,,0.0,0.0,0.0,2.864248514175415,-1.2457797527313232,2.570378065109253,2.570378065109253
7,2,704.8108520507812,620.8140258789062,704.8108520507812,620.8140258789062,704.8108520507812,620.8140258789062,,,,,0.0,0.0,0.0,0.012997080571949482,0.006473641376942396,2.807706832885742,2.807706832885742
7,3,1015.1915283203125,400.36920166015625,1015.1915283203125,400.36920166015625,1015.1915283203125,400.36920166015625,,,,,0.0,0.0,0.0,-2.047640562057495,1.0047835111618042,2.561940908432007,2.561940908432007
7,4,256.67401123046875,411.6085510253906,256.67401123046875,411.6085510253906,256.67401123046875,411.6085510253906,,,,,0.0,0.0,0.0,-5.106210708618164,-0.12632419168949127,2.561533212661743,2.561533212661743
7,5,1609.5936279296875,433.3516845703125,1609.5936279296875,433.3516845703125,1609.5936279296875,433.3516845703125,,,,,0.0,0.0,0.0,-0.00794606190174818,-0.11846856772899628,2.8010830879211426,2.8010830879211426
7,6,1748.5989990234375,457.7196044921875,1748.5989990234375,457.7196044921875,1748.5989990234375,457.7196044921875,,,,,0.0,0.0,0.0,0.007893817499279976,0.05101099610328674,2.8058359622955322,2.8058359622955322
7,7,1059.201171875,412.5733947753906,1059.201171875,412.5733947753906,1059.201171875,412.5733947753906,,,,,0.0,0.0,0.0,-3.228734254837036,1.4932702779769897,2.801833391189575,2.801833391189575
7,8,1466.6922607421875,438.870849609375,1466.6922607421875,438.870849609375,1466.6922607421875,438.870849609375,,,,,0.0,0.0,0.0,0.0020923917181789875,0.007342053577303886,2.8009941577911377,2.8009941577911377
7,9,1605.0732421875,441.3695983886719,1605.0732421875,441.3695983886719,1605.0732421875,441.3695983886719,,,,,0.0,0.0,0.0,0.05499209463596344,-0.03692290931940079,2.8032209873199463,2.8032209873199463
7,10,1503.3055419921875,336.4733581542969,1503.3055419921875,336.4733581542969,1503.3055419921875,336.4733581542969,,,,,0.0,0.0,0.0,0.02934715524315834,0.16924288868904114,1.8816519975662231,1.8816519975662231
8,0,502.1086120605469,718.904541015625,502.1086120605469,718.904541015625,502.1086120605469,718.904541015625,,,,,0.0,0.0,0.0,-0.1970597356557846,-0.14587834477424622,3.3735265731811523,3.3735265731811523
8,1,280.4053039550781,819.2568969726562,280.4053039550781,819.2568969726562,280.4053039550781,819.2568969726562,,,,,0.0,0.0,0.0,3.5276222229003906,-1.7554172277450562,3.382885456085205,3.382885456085205
8,2,704.8238525390625,620.8204956054688,704.8238525390625,620.8204956054688,704.8238525390625,620.8204956054688,,,,,0.0,0.0,0.0,0.012607168406248093,0.006279432214796543,4.154870986938477,4.154870986938477
8,3,1016.0191650390625,402.1144714355469,1016.0191650390625,402.1144714355469,1016.0191650390625,402.1144714355469,,,,,0.0,0.0,0.0,-1.5273971557617188,1.1387619972229004,3.36331844329834,3.36331844329834
8,4,252.61944580078125,411.7842102050781,252.61944580078125,411.7842102050781,252.61944580078125,411.7842102050781,,,,,0.0,0.0,0.0,-4.9159626960754395,-0.07169347256422043,3.3623740673065186,3.3623740673065186
8,5,1609.585693359375,433.23321533203125,1609.585693359375,433.23321533203125,1609.585693359375,433.23321533203125,,,,,0.0,0.0,0.0,-0.007707680109888315,-0.11491451412439346,4.136848449707031,4.136848449707031
8,6,1748.60693359375,457.7706298828125,1748.60693359375,457.7706298828125,1748.60693359375,457.7706298828125,,,,,0.0,0.0,0.0,0.0076570031233131886,0.04948066920042038,4.1497802734375,4.1497802734375
